Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Darren Collison, IND,69,29.2,0.61,31.9,7.4,18.3,2.1,7.8,5,18.86,236.8,7.9
Dwight Powell, DAL,79,21.2,0.656,13.8,8.9,14.7,8.7,21.3,14.7,18.82,205.2,6.8
Derrick Favors, UTAH,77,28,0.593,10.3,8.9,17.4,10.6,18.5,14.6,18.82,235.2,7.8
Nikola Mirotic, NO/CHI,55,27.2,0.577,9,7,20.1,4.3,24.9,14.6,18.72,161.1,5.4
Paul George, OKC,79,36.6,0.57,13.2,10.6,25.3,2.7,14.9,8.6,18.71,354,11.8
Bradley Beal, WSH,82,36.3,0.564,16.7,9.6,26.8,2.3,11.5,6.9,18.51,355.7,11.9
Otto Porter Jr., WSH,77,31.6,0.602,13.4,6.4,17.7,4.8,18.1,11.4,18.37,285.6,9.5
John Collins, ATL,74,24.1,0.62,11.8,12.7,17,11,22.8,16.9,18.33,181.8,6.1
Devin Booker, PHX,54,34.5,0.561,15.4,11.8,30.7,1.5,12.7,7,18.12,212,7.1
Rudy Gay, SA,57,21.6,0.545,9.7,10.4,23.4,6.8,19.5,13.1,18.03,138.3,4.6
Jordan Bell, GS,57,14.2,0.641,28.5,14.3,14,8.9,19,14.3,18,89.3,3
Trey Lyles, DEN,73,19.1,0.591,11.9,8,20.4,4.5,23.5,14,17.95,134,4.5
Michael Beasley, NY,74,22.3,0.556,10.8,12.5,25.8,6.5,21.2,13.9,17.89,182.4,6.1
Jrue Holiday, NO,81,36.1,0.57,23.7,10.4,22.8,2.4,10.8,6.8,17.87,300,10
J.J. Barea, DAL,69,23.2,0.545,33.1,10.9,26,1,13.4,7,17.84,163.5,5.5
Kelly Olynyk, MIA,76,23.4,0.612,19.4,13.8,21.3,5.6,21.6,13.6,17.82,167.8,5.6
Salah Mejri, DAL,61,12,0.644,14.6,16.2,12.1,12.5,25.4,18.7,17.81,78.5,2.6
T.J. Warren, PHX,65,33,0.541,6.3,6.2,23.3,6.1,10.5,8.3,17.71,230.5,7.7
Al Horford, BOS,72,31.6,0.575,26.6,10.3,18.7,5,20.3,12.8,17.63,208.4,6.9
Willie Cauley-Stein, SAC,73,28,0.529,14.8,9.4,21,7,22,14.2,17.61,213.8,7.1
Domantas Sabonis, IND,74,24.5,0.567,14.4,13.1,21.2,10.4,25.2,17.8,17.57,188.6,6.3
Kosta Koufos, SAC,71,19.6,0.566,15.6,8.8,14.7,11.7,27.6,19.3,17.56,144.6,4.8
Jarrett Allen, BKN,72,20,0.636,8.3,13.8,15.3,10.5,18.1,14.3,17.56,149.7,5
Jakob Poeltl, TOR,82,18.6,0.662,10,14.9,14,12.4,16.4,14.4,17.55,158.1,5.3
